,CountPrimeVideo,ChurnLikelinessPrimeVideo,CountNetflix,ChurnLikelinessNetflix,CountHulu,ChurnLikelinessHulu,CountDisneyPlus,ChurnLikelinessDisneyPlus
0,8533,No Churn Detected,24185,No Churn Detected,21219,No Churn Detected,2557,No Churn Detected
1,260,Likely To Churn,1640,Likely To Churn,1477,Likely To Churn,172,Likely To Churn
