,date,tweet_count,sentiment_polarity,platform
0,2020-03-24,0.011660529545853062,0.1283367591870242,primevideo
1,2020-03-25,0.16570226196738558,0.1518562221401636,primevideo
2,2020-03-26,0.07824829037348766,0.13087087979846002,primevideo
3,2020-03-27,0.2810801332631948,0.15321072456000176,primevideo
4,2020-03-28,0.16351043310538313,0.15736735753349035,primevideo
5,2020-03-29,0.0028932140978432407,0.12689576487769255,primevideo
6,2020-03-30,0.006794669472207611,0.06131839575153527,primevideo
7,2020-03-31,0.0024986849026827984,0.09441631566631567,primevideo
8,2020-04-01,0.08644573031737683,0.13784258774203492,primevideo
9,2020-04-02,0.20853059793091355,0.19161552279587407,primevideo
10,2020-04-03,0.13694546729791338,0.18059769710020399,primevideo
11,2020-04-05,0.1969577415395406,0.15626822459486067,primevideo
12,2020-04-06,0.15084166228300894,0.09417719141439465,primevideo
13,2020-04-07,0.22540768016833246,0.11156225526876273,primevideo
14,2020-04-11,0.0905225320007014,0.12518346113807186,primevideo
15,2020-04-12,0.11827108539365248,0.12198416326017607,primevideo
16,2020-04-13,0.12002454848325445,0.12916614989920325,primevideo
17,2020-04-14,0.1557951955111345,0.10980608152776317,primevideo
18,2020-03-24,0.09788707697702964,0.10970779785646448,netflix
19,2020-03-25,0.08916359810625987,0.14490832563205727,netflix
20,2020-03-26,0.01832368928634052,0.11518780580849547,netflix
21,2020-03-27,0.32627564439768547,0.04629874030745327,netflix
22,2020-03-28,0.3488953182535508,0.04642807042158221,netflix
23,2020-03-29,0.3288181658776083,0.06036160876234925,netflix
24,2020-03-30,0.13264948272838856,-0.12664029726283416,netflix
25,2020-03-31,0.7474136419428372,0.0878295672086271,netflix
26,2020-04-01,0.016745572505698754,0.1566550364608008,netflix
27,2020-04-02,0.5532176047694197,0.07673373256710565,netflix
28,2020-04-03,0.8895756619323164,0.08826850701726476,netflix
29,2020-04-05,0.14943889181132738,0.12328049690790456,netflix
30,2020-04-06,0.05654918463966334,0.11564503256880829,netflix
31,2020-04-07,0.899921094160968,-0.05345453054067225,netflix
32,2020-04-11,0.27862528493775207,0.08071173013035134,netflix
33,2020-04-12,0.7056812204103105,0.05361747450874822,netflix
34,2020-04-13,0.6923987375065755,0.08560298366136085,netflix
35,2020-04-14,0.10314746624583554,0.10287719456469444,netflix
36,2020-03-24,0.2685428721725408,0.10857944037290451,hulu
37,2020-03-25,0.2653428020340172,0.141134809055733,hulu
38,2020-03-26,0.007978257057688936,0.11290280768923991,hulu
39,2020-03-27,0.3078204453796248,0.11777251582282501,hulu
40,2020-03-28,0.025819743994388918,0.11164006876878169,hulu
41,2020-03-29,0.008986498334210067,0.08496053521053525,hulu
42,2020-03-30,0.010345432228651587,0.05571817126659021,hulu
43,2020-03-31,0.015605821497457479,0.053960023443937646,hulu
44,2020-04-01,0.008065930212169035,0.1962179093708944,hulu
45,2020-04-02,0.5375241101174821,0.13646536236782733,hulu
46,2020-04-03,0.4826845519901806,0.11153350796642958,hulu
47,2020-04-05,0.4225846045940733,0.11005582174451925,hulu
48,2020-04-06,0.11397510082412766,0.11402296613822177,hulu
49,2020-04-07,0.5094248641066106,0.0955685928268219,hulu
50,2020-04-11,0.27069086445730317,0.09352772877491389,hulu
51,2020-04-12,0.48145712782745925,0.08761523954076383,hulu
52,2020-04-13,0.454409959670349,0.09056194733676572,hulu
53,2020-04-14,0.4493249167105033,0.10182896440179542,hulu
54,2020-03-24,0.00341925302472383,0.12546684894053314,disneyplus
55,2020-03-25,0.0035945993336840266,0.13017691343448923,disneyplus
56,2020-03-26,0.0,0.08557422969187675,disneyplus
57,2020-03-27,0.0070138523584078565,0.14937235144014807,disneyplus
58,2020-03-28,0.29396808697176924,0.12475045741729034,disneyplus
59,2020-03-29,0.30843415746098546,0.12303215258558951,disneyplus
60,2020-03-30,0.2382079607224268,0.1585009363228967,disneyplus
61,2020-03-31,0.03090478695423461,0.10935154872828011,disneyplus
62,2020-04-01,0.28528844467823955,0.2604378369076599,disneyplus
63,2020-04-02,1.0000000000000002,0.2879453288246111,disneyplus
64,2020-04-03,0.021742942311064353,0.13368253335358604,disneyplus
65,2020-04-05,0.341048570927582,0.15158986340743788,disneyplus
66,2020-04-06,0.1098982991408031,0.09605093395554959,disneyplus
67,2020-04-07,0.4351218656847274,0.11561063001853068,disneyplus
68,2020-04-11,0.1099859722952832,0.12355952126265814,disneyplus
69,2020-04-12,0.17802034017183938,0.09952315572190451,disneyplus
70,2020-04-13,0.17425039452919516,0.14784190199783878,disneyplus
71,2020-04-14,0.17508328949675608,0.1727944419738539,disneyplus
